addressinfo,county,enforcement_action,enforcement_action_no,enforcement_action_issued,case_closed,media,program,upload_id,city,state,zip,ai_combined
Silverwood Lane,Calvert,Site Complaint,,,2016-07-13T00:00:00.000,Not Applicable,,,Prince Frederick,MD,20678,64322 - Oak Tree Landing
Shaffer Rd & White Ground Rd,Montgomery,Penalty Settlement,PS-12-1673,2012-05-23T00:00:00.000,2012-06-19T00:00:00.000,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),,Boyds,MD,20841,134965 - White Ground Bridge Replacement
2825 Annapolis Rd,Baltimore City,"Complaint, Order, Penalty",,2010-10-15T00:00:00.000,2016-09-12T00:00:00.000,Surface Water Discharge Unauthorized,,,Baltimore,MD,21230,22190 - A & X Steel and Aluminum Co.
40274 Waterview Dr,St. Mary's,Penalty Settlement,PS-13-1768,2012-09-26T00:00:00.000,2012-10-22T00:00:00.000,Tidal Wetlands,,,Mechanicsville,MD,20659,137852 - 40274 Waterview Dr
County Wide Sewerage System,Howard,Penalty Settlement,Ryan Seavolt,2012-08-16T00:00:00.000,2012-10-02T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31409 - Howard County Sanitary Sewer Overflows
113 Levin-Dorsey Rd,Dorchester,Penalty Settlement,Patrick Noyes,2017-12-12T00:00:00.000,2017-12-27T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Vienna,MD,21869,23651 - Vienna WWTP
2840 Sisson St,Baltimore City,Penalty Settlement,PS-13-1923,2013-05-21T00:00:00.000,2013-06-14T00:00:00.000,Surface Water Discharge Unauthorized,,,Baltimore,MD,21211,8138 - Sisson St Yard # 10 City Of Baltimore
603 E Church St,Frederick,Penalty Settlement,AP-12-1575,2012-02-06T00:00:00.000,2012-12-21T00:00:00.000,Sediment,,,Frederick,MD,21701,"108827 - Construction Trades Services, Inc"
End of Sasha Ln,Washington,Consent Order,C-O-AP-13-SW-0258,2014-10-07T00:00:00.000,2015-09-15T00:00:00.000,Sediment,,,Hagerstown,MD,21740,139576 - End of Sasha Lane off Mount Aetna Rd
County Wide Sewerage System,Somerset,Penalty Settlement,Patrick Noyes,2016-03-03T00:00:00.000,2016-03-15T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31413 - Somerset County Sanitary District Collection System
16707 Creamery Road,Frederick,Consent Order,CO-13-1853,2013-04-02T00:00:00.000,2016-03-07T00:00:00.000,Surface Water Discharge Permit,,,Emmitsburg,MD,21727,20087 - Emmitsburg WWTP
3901 Twin Arch Road,Frederick,Administrative Order,DJ-16-2336,2015-09-29T00:00:00.000,2016-05-18T00:00:00.000,Non-Tidal Wetlands;Sediment;Waterway Construction,,,Mount Airy,MD,21771,144574 - 3901 Twin Arch Rd wetland and floodplain fill
2 Ridgeway Drive,Caroline,Penalty Settlement,PS-14-1977,2013-08-15T00:00:00.000,2013-09-19T00:00:00.000,Surface Water Discharge Unauthorized,,,Ridgely,MD,21660,139584 - Mike Peter Property
6929 Heron Grove Ct,Wicomico,Complaint & Penalty,AP-15-2157,2014-10-06T00:00:00.000,2015-11-09T00:00:00.000,Sediment,,,Parsonsburg,MD,21804,141378 - Heron Grove Ct
30085 Charlotte Hall Rd,St. Mary's,Settlement Agreement,SAP-13-1731,2012-08-09T00:00:00.000,2013-09-30T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Charlotte Hall,MD,20622,"23169 - Seymour, Inc"
1901 Towne Centre Blvd,Anne Arundel,Penalty Settlement,PS-13-1906,2013-04-09T00:00:00.000,2013-05-28T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Annapolis,MD,21401,139836 - Bozzuto ATC 11 Landbay-Parcel 15B
Sunni Perch Ct,Baltimore,Penalty Settlement,PS-13-1745,2012-08-13T00:00:00.000,2012-10-10T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Perry Hall,MD,21128,137982 - Parkside II (portion of site)
39.000476 -77.102593,Montgomery,Penalty Settlement,MDRCPF00K,2017-05-26T00:00:00.000,2017-06-13T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Bethesda,MD,20814,146116 - Buildings 7 and 9 Demolition
5274 Bucktown Rd,Dorchester,Consent Order,SA-16-2395,2016-04-22T00:00:00.000,2022-05-17T00:00:00.000,Non-Tidal Wetlands,,,Cambridge,MD,21613,144799 - Chesapeake Wood Products LLC
Nixon Road,Talbot,,,,2024-09-27T00:00:00.000,Not Assigned,,,Easton,MD,21601,68106 - Norris Taylor Property off Nixon Road
29643 Kingston Lane,Somerset,Complaint & Penalty,AP-13-1862,2013-04-08T00:00:00.000,2013-05-21T00:00:00.000,Groundwater Discharge Unauthorized,Industrial Minor,,Westover,MD,21871,76935 - Kuzzens Packing
"Stormwater outfall between ""Outfall 67"" and 1901 Falls Rd, 39.3130123, -76.6225855",Baltimore City,Penalty Settlement,"Bull, Kevin",2018-11-29T00:00:00.000,2019-01-03T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Baltimore City,MD,21211,159170 - Oily discharge to Jones Falls
6100 Ray Norwood Road,Calvert,Penalty Settlement,PS-18-2509,2018-02-12T00:00:00.000,2018-03-05T00:00:00.000,Tidal Wetlands,,,Prince Frederick,MD,20678,154560 - Terry and Faye Shields
200 Shady Ln,Wicomico,Consent Order,CO-13-1759,2012-09-06T00:00:00.000,2017-06-15T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Fruitland,MD,21826,23669 - Fruitland Wastewater Treatment Plant
Fishing Creek Channel,Calvert,Settlement Agreement,C-18-2505,2018-01-29T00:00:00.000,2018-02-09T00:00:00.000,Tidal Wetlands,,,Chesapeake Beach,MD,20732,105512 - Town Of Chesapeake Beach-Fishing Creek
28 Third Ave,Kent,Penalty Settlement,PS-12-1638,2012-08-14T00:00:00.000,2012-09-14T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Betterton,MD,21610,26971 - Betterton WWTP
8229 Waterford Road,Anne Arundel,Penalty Settlement,Joe Bieberich,2017-02-27T00:00:00.000,2017-03-14T00:00:00.000,Surface Water Discharge Permit,Industrial Stormwater,,Pasadena,MD,21122,24046 - Anne Arundel County - School Transportation Garage
11309 Acton Drive,Charles,Penalty Settlement,PS-13-1925,2013-02-13T00:00:00.000,2013-07-12T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Waldorf,MD,20601,138265 - 11309 Acton Drive
Sewerage Systems in Montgomery & Prince George's Counties,Statewide,Penalty Settlement,"Bull, Kevin",2015-03-15T00:00:00.000,2015-04-08T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,PG & Montgolery Counties,MD,0,31417 - Washington Suburban Sanitary Commission Sanitary Sewer Overflows
East side of Fountain Green Rd south of Prospect Mill Rd,Harford,Settlement Agreement,SAP-13-1920,2013-05-15T00:00:00.000,2013-06-09T00:00:00.000,Notice of Intent;Sediment,,,Bel Air,MD,21015,132198 - Prospect Green Inc
10200 La Plata Road,Charles,Penalty Settlement,Arno Laud,2018-08-15T00:00:00.000,2018-09-11T00:00:00.000,Surface Water Discharge Unauthorized,,,La Plata,MD,20646,"25886 - Charles County Nursing & Rehab Center, Inc."
39.210509 -76.552105,Baltimore,Penalty Settlement,C-16-2349,2015-12-11T00:00:00.000,2016-01-12T00:00:00.000,Sediment,,,Baltimore,MD,21226,146193 - MPA - Hawkins Point Landfill Area 5 Cap Replacement
"14501 Sweitzer Lane, I-95 SB directly E of WSSC Headquarters",Prince George's,Penalty Settlement,C-15-2120,2014-07-18T00:00:00.000,2014-08-16T00:00:00.000,Sediment,,,Laurel,MD,20707,"143629 - WSSC - Improper dewatering of sediment from a 60"" Steel Sleeve Water Main"
24691 Red Hill Court,St. Mary's,Penalty Settlement,PS-13-1765,2012-09-14T00:00:00.000,2012-09-15T00:00:00.000,Tidal Wetlands,,,Hollywood,MD,20636,134101 - Gregory Fahrner 24691 Red Hill Ct
29181 Waller Road,Wicomico,Penalty Settlement,Patrick Noyes,2017-07-18T00:00:00.000,2017-08-25T00:00:00.000,Sediment,Municipal Minor,,Delmar,MD,21875,"150711 - Angel's Legacy, LLC"
341 Edgewater Rd,Anne Arundel,Penalty Settlement,Arno Laud,2012-10-17T00:00:00.000,2018-03-12T00:00:00.000,Tidal Wetlands,,,Pasadena,MD,21122,137926 - 341 Edgewater Rd
25100 Chalk Point Road,Prince George's,Consent Decree,Lenn Roberts,2016-08-26T00:00:00.000,2024-08-06T00:00:00.000,Surface Water Discharge Permit,Industrial Major,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1930698'},Aquasco,MD,20608,"1919 - Chalk Point Power, LLC - Chalk Point Generating Station"
Beach Dr.,Calvert,Penalty Settlement,C-15-2229,2015-03-19T00:00:00.000,2015-04-06T00:00:00.000,Sediment,,,Lusby,MD,20657,"146332 - Driftwood Beach, Beach Dr, Lusby"
1 Hailey Rd,Charles,Penalty Settlement,Patrick Noyes,2015-12-04T00:00:00.000,2016-12-15T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Indian Head,MD,20640,23478 - Town of Indian Head WWTP
"Stephens  Ave, Towson University",Baltimore,Site Complaint,,2011-08-02T00:00:00.000,2015-12-11T00:00:00.000,Not Applicable,,,Towson,MD,21204,135237 - Newell and Richmond Hall Renovations Towson University
E Way,St. Mary's,Penalty Settlement,PS-13-1782,2012-09-28T00:00:00.000,2013-07-09T00:00:00.000,Tidal Wetlands,,,Scotland,MD,20687,138132 - E Way Dr Charles Wood
County Wide Sewerage System,Frederick,Penalty Settlement,"Bull, Kevin",2015-07-09T00:00:00.000,2015-08-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,21704,31403 - Frederick County Sanitary Sewer Overflows
3360 Livingston Road,Charles,Order of Contempt,JO-16-2294,2015-06-17T00:00:00.000,2024-09-13T00:00:00.000,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction),,Indian Head,MD,20640,137152 - Johnson Auto Parts & Recycling
10000 B Beaver Dam Rd,Baltimore,Penalty Settlement,PS-13-1885,2013-05-15T00:00:00.000,2013-06-15T00:00:00.000,Surface Water Discharge Unauthorized,,,Cockeysville,MD,21030,"9359 - Imerys Carbonates USA, Inc."
"5600 to 5610 Odell Rd, bottom of Ammendale RD and Ammendale Way",Prince George's,,,,2024-09-20T00:00:00.000,Not Assigned,,,Beltsville,MD,20705,68885 - Odell Road in Beltsville
4125 Solomons Island Rd,Calvert,Consent Order,CO-14-2013,2013-10-12T00:00:00.000,2016-03-31T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Huntingtown,MD,20639,25373 - Huntingtown High School
6710 Baymeadow Dr,Anne Arundel,Penalty Settlement,PS 20-2606,2019-08-26T00:00:00.000,2019-09-26T00:00:00.000,Surface Water Discharge Unauthorized,,,Glen Burnie,MD,21060,"10856 - Toyota Motor Sales, USA, Inc"
"Red Hill Rd, Ben Boulevard, Elkton, Maryland 21921,  39.61253°,  -75.80515°",Cecil,,,,2024-09-28T00:00:00.000,Not Assigned,,,Elkton,MD,21921,"63616 - Red Hill Lots (1-84)
Phase 2 - Ben BLVD and Erin Court Lots 18-56"
off Pulaski Hwy,Harford,Consent Decree,Eisgruber,2010-09-27T00:00:00.000,2016-07-13T00:00:00.000,Sediment,Notice of Intent (Construction),,Havre De Grace,MD,21078,65700 - Greenway Farm Phase II & III
96  E Moser Rd,Frederick,Consent Order,,2012-05-21T00:00:00.000,2015-08-04T00:00:00.000,Surface Water Discharge Permit,,,Thurmont,MD,21788,19664 - Thurmont WWTP
Marion Quimby Drive,Queen Anne's,Complaint & Penalty,SA-13-1855,2012-11-20T00:00:00.000,2014-01-28T00:00:00.000,Sediment,,,Stevensville,MD,21666,"129153 - Donkat Properties, LLC"
151 Blades Ln,Anne Arundel,Penalty Settlement,Julie Gowe,2014-06-10T00:00:00.000,2014-07-01T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Glen Burnie,MD,21061,138575 - Pitt Ohio Express Inc
2180 Potts Point Rd,Calvert,Consent Decree,CJ-13-1794,2012-11-15T00:00:00.000,2014-07-14T00:00:00.000,Tidal Wetlands,,,Huntingtown,MD,20639,"68447 - James Strippy, Jr."
11050 Crain Hwy,Charles,Consent Order,CO-14-2022,2013-11-05T00:00:00.000,2018-03-09T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Newburg,MD,20664,21865 - Thunderbird Motel WWTP
4 Prospect Rd,Frederick,Settlement Agreement,Eisgruber,2014-09-09T00:00:00.000,2016-02-29T00:00:00.000,Surface Water Discharge Unauthorized,,,Mount Airy,MD,21771,142234 - WRF & Son Port-a-Potty
6316 Cabin Creek Rd,Dorchester,,,,2020-03-04T00:00:00.000,Not Assigned,,,Hurlock,MD,21643,68491 - Nancy Chau Bounds
25792 John Hanson Rd,Kent,Penalty Settlement,"Bull, Kevin",2015-07-22T00:00:00.000,2015-10-15T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Chestertown,MD,21620,22171 - Chestertown WWTP
13265 Augustine Herman Hwy,Kent,Stipulated Penalty,Patrick Noyes,2019-03-19T00:00:00.000,2019-06-06T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Galena,MD,21635,22169 - Town of Galena WWTP
Temi Drive,Charles,Settlement Agreement,C-17-2438,2017-02-13T00:00:00.000,2017-03-28T00:00:00.000,Sediment,,,Waldorf,MD,20601,131958 - CH DPW - Pinefield Subdivision
Intersect of Leeland Road and US 301,Prince George's,Consent Order,COP-13-1836,2013-01-15T00:00:00.000,2013-12-14T00:00:00.000,Sediment,,,Upper Marlboro,MD,20772,109495 - VOB Limited Partnership-Beech Tree
Corner of Bee Tree & Delp Rds,Caroline,Consent Order,CO-10-1035,2009-11-06T00:00:00.000,2020-05-20T00:00:00.000,Non-Tidal Wetlands,,,Henderson,MD,21640,135740 - Mark Allen
201 N Washington Street,Talbot,Offer to Settle,,2020-03-09T00:00:00.000,2020-05-11T00:00:00.000,Groundwater Discharge Unauthorized;Surface Water Discharge Permit,Collection System (SSO),,Easton,MD,21601,32590 - Easton Utilities
Rolling Oaks Subdivision,Allegany,Settlement Agreement,12-AL-0053,2013-02-28T00:00:00.000,2013-07-18T00:00:00.000,Notice of Intent;Sediment;Stormwater Management,Notice of Intent (Construction),,Ellerslie,MD,21529,136349 - Rolling Oaks Subdivision
4020 North Point Blvd,Baltimore,Penalty Settlement,PS-14-1979,2013-08-06T00:00:00.000,2013-08-06T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Dundalk,MD,21222,140528 - 4020 North Point Blvd
7460 New Ridge Rd,Anne Arundel,Penalty Settlement,C-14-2087,2014-05-08T00:00:00.000,2014-05-27T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Hanover,MD,21076,142387 - Hanover Crossing
"Aspen Rd-Aster Rd-AmaranthRd, 38.508785, -76.509158",Calvert,Penalty Settlement,C-15-2239,2015-04-03T00:00:00.000,2015-04-28T00:00:00.000,Sediment,,,Port Republic,MD,20676,146223 - Aspen Rd. & Amaranth Rd.
Marion Quimby Drive,Queen Anne's,Settlement Agreement,SA-13-1855,2013-02-25T00:00:00.000,2014-01-28T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Stevensville,MD,21666,"129153 - Donkat Properties, LLC"
500A Earls Rd,Baltimore,Penalty Settlement,Patrick Noyes,2019-02-28T00:00:00.000,2019-03-19T00:00:00.000,Surface Water Discharge Permit,Industrial Stormwater,,Middle River,MD,21220,156970 - ASTec Metalworks
3501 Asiatic Ave,Baltimore City,Stipulated Penalty,SP-22-2779,2022-02-15T00:00:00.000,2022-03-15T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Curtis Bay,MD,21226,3076 - Patapsco WWTP
Blairs Valley Rd,Washington,,,,2024-09-10T00:00:00.000,Not Assigned,,,Clear Spring,MD,21722,136204 - Clyde Stolter sediment
"6115 Emerald Lane, John Eggers",Carroll,Penalty Settlement,COP-15-2155,2014-09-30T00:00:00.000,2014-09-22T00:00:00.000,Sediment;Waterway Construction,,,Eldersburg,MD,21784,"66714 - John Eggers, 6115 Emerald Lane, pond"
N Prince Frederick Blvd across from library,Calvert,,,2012-02-09T00:00:00.000,2014-09-14T00:00:00.000,Not Applicable,,,Prince Frederick,MD,20678,136766 - Calvert County Water & Sewerage on N Prince Frederick Blvd
29940 Three Notch Rd,St. Mary's,Settlement Agreement,Arno Laud,2014-08-13T00:00:00.000,2014-09-10T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Charlotte Hall,MD,20622,"22934 - Charlotte Hall Center, Inc. WWTP"
10511 Tucker St,Prince George's,,,,2013-07-01T00:00:00.000,Not Assigned,,,Beltsville,MD,20705,"67235 - PCM Construction, Inc"
1001 Carroll Island Rd,Baltimore,Penalty Settlement,PS-16-2306,2015-08-26T00:00:00.000,2015-09-23T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Major,,Middle River,MD,21220,4116 - C P Crane Generating Station
St. Mary's Ave & Hibiscus Ct,Charles,Penalty Settlement,C-16-2357,2015-11-24T00:00:00.000,2016-03-30T00:00:00.000,Sediment,,,La Plata,MD,20646,65333 - St. Mary's Villas
Florist Place,Prince George's,Penalty Settlement,PS-15-2194,2014-12-23T00:00:00.000,2015-02-18T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Temple Hills,MD,20748,64232 - Watkins Park Land LLC-Chambers Estates
28165 Briscoe Anderson Ln,St. Mary's,Site Complaint,,2008-07-18T00:00:00.000,2016-07-13T00:00:00.000,Not Applicable,,,Mechanicsville,MD,20659,63912 - JTM Inc./Stoltzfus Pit
Rte 5 at Winters Lane,St. Mary's,Information Request,AOP-17-2427,2024-01-24T00:00:00.000,2024-09-13T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1971134'},Leonardtown,MD,20650,19080 - Winters Apartments WWTP
6929 Heron Grove Ct,Wicomico,Settlement Agreement,Patrick Noyes,2015-06-26T00:00:00.000,2015-11-16T00:00:00.000,Sediment,,,Parsonsburg,MD,21804,141378 - Heron Grove Ct
"310 Gay St, District Court Bldg",Dorchester,Consent Order,CA-14-1968,2013-07-22T00:00:00.000,2014-09-22T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Cambridge,MD,21613,140425 - SMR Investments LLC
"15000 West Old Baltimore Rd, 0.4 miles SE, 39.217725-77.316781",Montgomery,Settlement Agreement,SAP-15-2183,2014-12-23T00:00:00.000,2015-02-03T00:00:00.000,Sediment;Waterway Construction,,,Boyds,MD,20841,141872 - W Old Baltimore Rd at Ten Mile Stream crossing
"6225 Smith Ave, Garage at Marbury Building (under plaza)",Baltimore City,Penalty Settlement,PS-13-1762,2012-09-14T00:00:00.000,2012-10-09T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Baltimore City,MD,21209,138385 - Johns Hopkins at Mount Washington - Marbury Garage
4963 Mountain Road,Anne Arundel,Settlement Agreement,SAP-15-2167,2014-11-19T00:00:00.000,2014-12-01T00:00:00.000,Tidal Wetlands,,,Pasadena,MD,21122,82825 - Paul Van Cleve
19824 Mill Point Road,Washington,Penalty Settlement,Jess Herpel,2019-05-01T00:00:00.000,2019-05-15T00:00:00.000,Surface Water Discharge Unauthorized,,,Boonsboro,MD,21713,156512 - Beard Farm
21324 Mount Lena Rd,Washington,Penalty Settlement,PS-13-1775,2012-10-12T00:00:00.000,2012-10-12T00:00:00.000,Sediment,,,Boonsboro,MD,21713,137925 - Mount Lena Rd
"County Wide Sewerage System, Anne Arundel County",Anne Arundel,Penalty Settlement,Arno Laud,2017-07-17T00:00:00.000,2017-07-24T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31396 - Anne Arundel County Sanitary Sewer Overflows
4300 Shannon Dr.,Baltimore City,Consent Decree,CJ-16-2304,2015-09-09T00:00:00.000,2021-02-22T00:00:00.000,Sediment;Stormwater Management,Industrial Stormwater,,Baltimore,MD,21213,"31284 - P & J Contracting Company, Inc."
239 Alexander Ln,Calvert,Penalty Settlement,PS-13-1848,2013-02-04T00:00:00.000,2013-02-19T00:00:00.000,Tidal Wetlands,,,Solomons,MD,20629,"72914 - Michael Watson, Brian Hope & Harry Prechtel"
3000 Vera St,Baltimore City,Settlement Agreement,SA-18-2503,2018-08-13T00:00:00.000,2024-10-02T00:00:00.000,Stormwater Management,Industrial Stormwater,,Curtis Bay,MD,21226,"23058 - Sims ARG, Inc. - Vera Street"
3501 Asiatic Ave,Baltimore City,Compliance Order,SP-19-2545,2018-07-31T00:00:00.000,2018-10-01T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Curtis Bay,MD,21226,3076 - Patapsco WWTP
3000 Vera St,Baltimore City,Information Request,SA-18-2503,2023-11-17T00:00:00.000,2024-10-02T00:00:00.000,Stormwater Management,Industrial Stormwater,,Curtis Bay,MD,21226,"23058 - Sims ARG, Inc. - Vera Street"
285 Oyster Bay Drive,Calvert,Penalty Settlement,PS-15-2201,2015-01-07T00:00:00.000,2015-01-16T00:00:00.000,Tidal Wetlands,,,Dowell,MD,20629,139310 - Keith Segerson
Hess Road (NE of Hancock),Washington,Stipulated Penalty,SP-24-2995,2024-05-30T00:00:00.000,2024-09-11T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1735888'},Hancock,MD,21750,23481 - Hancock WWTP
72 Ikea Way,Cecil,Settlement Agreement,SA-14-2070,2014-03-11T00:00:00.000,2014-04-09T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Perryville,MD,21903,20024 - Perryville WWTP
700-712 Lisbon Center Dr,Howard,Required Confirmation,Lenn Roberts,2020-05-19T00:00:00.000,2020-09-01T00:00:00.000,Groundwater Discharge Permit,Industrial Minor,,Woodbine,MD,21797,22962 - Lisbon Shopping Plaza
